date,meantempm,meandewptm,meanpressurem,maxhumidity,minhumidity,maxtempm,mintempm,maxdewptm,mindewptm,maxpressurem,minpressurem,precipm,sealevelpressure,dewpoint
4/25/2015,28,23,1008.41,94,42,35,22,25,22,1011,1005,0,29.68,80.2
4/26/2015,30,25,1009.13,89,43,34,26,26,22,1012,1006,0,29.62,78.8
4/27/2015,30,25,1010.14,94,47,34,26,27,24,1013,1008,0,29.64,79.7
4/28/2015,30,25,1009.45,94,42,35,25,26,22,1013,1006,0,29.66,80.8
4/29/2015,31,26,1008.64,89,46,36,26,27,24,1012,1006,0,29.68,80.8
4/30/2015,32,26,1008.62,89,39,37,27,27,23,1012,1006,0,29.63,77.4
5/1/2015,30,26,1007.78,90,47,36,25,28,24,1010,1005,0,29.6,79.7
5/2/2015,32,26,1007.29,89,38,37,27,28,22,1010,1004,0,29.67,79
5/3/2015,30,25,1007.81,89,50,35,24,27,22,1010,1005,0,29.54,73.8
5/4/2015,30,26,1008.46,89,50,34,27,27,25,1011,1006,0,29.52,76.8
5/5/2015,30,25,1008.07,89,43,34,26,27,23,1011,1006,0,29.57,75.6
5/6/2015,30,25,1007.16,94,48,34,26,26,24,1010,1005,0,29.58,75
5/7/2015,30,25,1007.91,89,43,35,26,26,23,1010,1006,0,29.53,74.7
5/8/2015,32,26,1006.75,89,44,36,27,27,24,1010,1004,0,29.52,72.9
5/9/2015,32,26,1005.31,89,50,37,26,27,24,1008,1003,0,29.57,73.4
5/10/2015,31,26,1005.73,89,46,35,27,27,24,1009,1003,0,29.57,73.4
5/11/2015,31,26,1007.54,84,59,34,28,27,24,1010,1006,0,29.51,73.2
5/12/2015,31,26,1007.3,84,51,35,27,27,25,1010,1005,0,29.54,73.6
5/13/2015,28,25,1007.31,89,58,30,27,27,22,1011,1005,6,29.56,75.2
5/14/2015,28,26,1007.54,94,68,31,25,27,25,1010,1005,12,29.57,75.9
5/15/2015,30,26,1007.64,94,54,34,26,27,25,1010,1006,5,29.51,77.2
5/16/2015,28,26,1006.19,94,68,31,25,27,24,1009,1003,5,29.47,78.4
5/17/2015,29,25,1004.65,94,51,34,24,27,24,1007,1002,0,29.61,75.6
5/18/2015,30,25,1004.55,89,37,36,24,28,23,1007,1002,0,29.66,79.5
5/19/2015,32,26,1004.45,89,41,38,27,28,25,1007,1002,0,29.67,80.1
5/20/2015,33,25,1004.4,89,32,39,27,28,21,1006,1002,0,29.63,80.2
5/21/2015,34,26,1004.16,89,36,40,27,28,24,1007,1001,0,29.65,77.5
5/22/2015,34,26,1004.29,79,33,39,28,27,24,1007,1001,0,29.73,73.4
5/23/2015,34,25,1004.2,79,31,39,28,27,23,1007,1002,0,29.74,76.6
5/24/2015,36,25,1004.5,79,27,42,29,28,23,1008,1002,0,29.68,80.1
5/25/2015,36,25,1004.13,79,27,42,29,27,19,1007,1002,0,29.73,78.4
5/26/2015,34,25,1004.71,79,33,39,28,27,22,1008,1003,0,29.68,79.3
5/27/2015,32,25,1004.38,79,37,38,27,27,22,1007,1001,0,29.52,72.3
5/28/2015,32,22,1003.26,78,30,39,26,25,19,1006,1001,0,29.58,73.4
5/29/2015,34,25,1003.62,84,32,40,27,27,23,1007,1001,0,29.56,73.9
5/30/2015,31,23,1005.16,80,39,35,27,24,21,1012,1003,0,29.51,74.8
5/31/2015,30,26,1004.17,84,34,34,27,28,23,1013,1000,0,29.56,78.6
6/1/2015,30,24,1004.32,84,50,32,27,27,21,1007,1001,0.5,29.59,74.7
6/2/2015,32,24,1005.43,89,38,37,26,26,21,1008,1003,0,29.54,72
6/3/2015,30,23,1004.92,84,33,36,25,25,20,1007,1002,0,29.54,73
6/4/2015,32,26,1005.45,100,45,37,27,27,23,1008,1002,0,29.6,73.2
6/5/2015,32,26,1006,89,43,36,27,27,24,1008,1003,0,29.79,78.1
6/6/2015,31,24,1005.35,84,40,36,26,27,22,1008,1003,0,29.7,78.6
6/7/2015,32,26,1004.87,84,31,38,27,27,22,1007,1002,0,29.65,80.6
6/8/2015,32,25,1005.45,84,33,38,27,27,22,1008,1003,0,29.65,74.7
6/9/2015,32,24,1006.24,79,36,36,27,27,21,1009,1004,0,29.64,75.6
6/10/2015,31,24,1005.35,94,33,38,24,27,22,1008,1002,0,29.68,76.8
6/11/2015,33,24,1004.25,84,30,40,26,27,21,1007,1001,0,29.68,76.3
6/12/2015,29,24,1005.44,89,42,35,23,27,23,1007,1003,0,29.62,74.5
6/13/2015,32,25,1004.36,89,31,37,26,27,21,1006,1001,0,29.58,76.1
6/14/2015,32,24,1003.7,85,32,38,25,26,20,1006,1001,4,29.63,79.3
6/15/2015,31,22,1003.18,89,34,36,26,27,19,1006,1000,0,29.73,78.6
6/16/2015,31,22,1002.84,79,32,35,27,24,20,1006,1000,0,29.67,79
6/17/2015,28,24,1002.11,94,62,31,24,25,23,1005,1000,0.1,29.65,78.4
6/18/2015,28,23,1002.62,89,52,30,25,25,21,1005,1001,1,29.72,79.5
6/19/2015,28,24,1002.37,94,47,32,24,25,22,1005,1001,0.1,29.74,78.8
6/20/2015,30,23,1001.89,74,38,34,26,24,21,1004,999,0,29.67,77.7
6/21/2015,32,21,1002.09,66,27,37,26,22,19,1005,1000,0,29.66,79.2
6/22/2015,32,21,1003.07,70,29,38,26,24,20,1006,1000,0,29.72,77.9
6/23/2015,33,22,1004.26,79,28,38,28,26,20,1007,1002,0.8,29.7,79.3
6/24/2015,32,23,1005.23,79,25,39,26,26,20,1007,1002,0,29.63,79.3
6/25/2015,33,22,1004.46,80,26,38,28,26,20,1008,1001,0.5,29.62,79.5
6/26/2015,32,22,1003.73,66,30,37,26,24,20,1006,1001,0,29.68,79.9
6/27/2015,33,22,1003.98,93,30,38,28,27,20,1007,1001,14,29.7,79.7
6/28/2015,32,23,1005.87,84,27,38,26,27,20,1008,1004,0.8,29.65,78.6
6/29/2015,32,24,1007.4,84,30,38,26,27,21,1010,1005,0,29.64,78.8
6/30/2015,32,23,1007.33,79,27,38,25,26,20,1010,1005,2,29.72,79
7/1/2015,32,23,1007.67,89,27,38,25,27,20,1010,1005,0,29.72,77.5
7/2/2015,32,23,1007.83,84,24,39,26,26,20,1011,1005,2,29.65,79
7/3/2015,32,24,1007.5,83,26,39,26,27,20,1010,1005,0,29.71,78.8
7/4/2015,33,23,1006.25,79,27,39,27,26,21,1009,1004,0,29.63,78.3
7/5/2015,34,22,1004.36,75,24,40,28,26,19,1007,1002,0,29.69,76.8
7/6/2015,34,22,1003.6,79,22,40,28,27,17,1006,1001,0,29.69,75.6
7/7/2015,34,21,1003.45,79,15,40,28,27,15,1006,1001,0,29.65,76.8
7/8/2015,34,23,1004.13,79,23,40,28,26,19,1007,1002,0,29.65,75.9
7/9/2015,34,22,1004.59,74,22,39,28,25,20,1008,1001,3,29.69,77.9
7/10/2015,32,22,1003.08,89,25,39,24,26,20,1006,999,8,29.71,77.5
7/11/2015,30,23,1003.87,89,31,38,23,25,21,1007,1001,0.1,29.64,77.2
7/12/2015,32,23,1004.39,89,30,39,26,26,20,1007,1002,0,29.62,76.3
7/13/2015,32,23,1003.87,84,32,39,26,25,21,1006,1001,0,29.68,77.4
7/14/2015,32,24,1002.62,85,33,37,26,26,21,1006,999,0,29.69,79
7/15/2015,30,24,1001.94,84,39,34,27,26,22,1004,999,0,29.66,78.6
7/16/2015,32,23,1001.23,79,24,38,26,26,19,1004,999,0,29.65,77.7
7/17/2015,32,23,1001.88,96,31,39,26,26,20,1005,999,14,29.7,77.5
7/18/2015,31,24,1003.15,94,30,38,24,27,21,1006,1000,31,29.72,77.4
7/19/2015,30,23,1003.57,94,33,36,23,25,21,1006,1001,0.2,29.67,72.7
7/20/2015,31,22,1002.67,89,29,37,25,26,20,1005,1000,3,29.65,75
7/21/2015,30,23,1003.21,79,32,36,25,26,22,1007,1000,4,29.71,76.3
7/22/2015,30,24,1004.37,91,40,36,24,25,21,1008,1002,0,29.75,75.9
7/23/2015,29,24,1005.81,94,46,35,23,25,22,1009,1003,17,29.69,73.9
7/24/2015,30,24,1006.62,94,39,36,23,26,21,1009,1004,0,29.7,74.3
7/25/2015,31,25,1006.11,94,37,36,26,27,22,1009,1003,0,29.77,74.8
7/26/2015,30,24,1006.51,89,42,35,25,26,22,1010,1004,0,29.77,74.1
7/27/2015,29,24,1007.53,94,42,35,23,26,22,1010,1005,1,29.68,79.3
7/28/2015,30,24,1007.72,91,41,36,24,26,22,1011,1005,14,29.67,78.4
7/29/2015,30,24,1006.96,89,33,36,23,27,21,1010,1004,0,29.75,77.5
7/30/2015,30,24,1006.91,89,33,35,26,27,19,1009,1005,0,29.71,78.4
7/31/2015,30,24,1006.68,89,35,34,26,26,21,1010,1004,0,29.72,79
8/1/2015,27,24,1007.39,94,45,33,21,26,22,1011,1005,6,29.67,73.2
8/2/2015,28,24,1007.4,94,54,34,23,26,23,1011,1004,0.4,29.68,73.2
8/3/2015,30,25,1005.96,89,44,34,25,26,22,1009,1004,0,29.74,77.7
8/4/2015,30,23,1005.63,89,39,35,24,26,21,1010,1003,61,29.72,76.6
8/5/2015,28,24,1005.53,94,39,35,21,27,22,1009,1003,1,29.66,78.6
8/6/2015,30,24,1004.29,89,32,36,24,26,21,1007,1002,0.4,29.66,77.9
8/7/2015,30,24,1004.02,89,47,34,26,26,22,1007,1001,6,29.74,75.7
8/8/2015,30,24,1003.98,94,36,36,24,27,22,1007,1001,2,29.74,75.6
8/9/2015,32,24,1002.23,84,35,37,26,26,22,1005,999,0,29.74,71.4
8/10/2015,31,24,1001.8,89,47,36,26,26,21,1005,1000,1,29.85,75
8/11/2015,30,25,1003.52,89,42,35,25,26,22,1006,1001,0,29.82,75
8/12/2015,30,24,1004.87,84,40,35,26,26,22,1008,1002,0.1,29.74,74.5
8/13/2015,31,24,1004.93,84,42,36,26,27,21,1008,1002,0,29.73,74.1
8/14/2015,30,25,1005.26,94,43,35,25,27,23,1008,1003,0,29.8,73.4
8/15/2015,30,25,1006.16,89,33,36,25,27,22,1010,1004,0,29.81,72.9
8/16/2015,28,25,1007.8,94,52,34,23,27,23,1010,1006,0,29.79,72.3
8/17/2015,30,25,1007.07,94,44,34,25,27,23,1010,1005,0,29.87,71.6
8/18/2015,30,26,1007.85,94,51,34,25,27,24,1011,1005,0,29.84,73
8/19/2015,30,25,1008.59,84,40,34,26,26,22,1011,1006,0,29.77,72
8/20/2015,30,25,1008.13,84,47,36,25,27,22,1011,1005,0,29.8,75.2
8/21/2015,27,24,1008.53,94,64,32,22,27,23,1011,1006,5,29.86,75.9
8/22/2015,27,24,1007.31,94,58,32,22,26,22,1010,1004,0.9,29.82,75.9
8/23/2015,28,24,1006.57,94,43,34,22,25,22,1009,1004,0,29.74,75
8/24/2015,30,24,1007.05,89,37,35,25,26,22,1010,1005,0,29.75,74.7
8/25/2015,31,24,1006.13,89,40,36,26,25,22,1009,1003,0,29.81,74.5
8/26/2015,30,24,1004.73,84,35,35,26,26,21,1008,1002,0,29.8,74.3
8/27/2015,28,24,1004.83,89,54,31,24,26,23,1008,1002,0.4,29.75,75.4
8/28/2015,30,24,1005.77,89,45,34,25,26,22,1008,1004,0,29.8,73.6
8/29/2015,30,24,1005.53,94,32,36,24,26,20,1008,1003,1,29.77,72.9
8/30/2015,32,25,1006.43,84,30,37,26,26,21,1010,1003,0.8,29.7,73
8/31/2015,29,25,1007.42,94,37,35,23,27,22,1010,1005,0,29.7,72.7
9/1/2015,31,25,1006.36,89,42,36,26,27,23,1009,1004,0,29.76,72.7
9/2/2015,30,25,1006,84,44,36,25,27,22,1009,1003,0,29.8,70
9/3/2015,30,25,1007.64,89,52,35,26,27,23,1011,1006,0,29.78,68.9
9/4/2015,30,26,1009.45,94,47,35,26,27,24,1012,1007,0,29.8,70.3
9/5/2015,30,26,1010.17,94,49,35,26,27,24,1013,1007,0,29.78,73.8
9/6/2015,31,25,1009.23,89,41,36,26,26,23,1011,1005,0,29.74,74.7
9/7/2015,28,24,1009.7,94,56,31,25,26,22,1012,1007,0.4,29.81,76.3
9/8/2015,30,24,1008.87,94,38,35,24,27,21,1012,1006,0,29.75,75.4
9/9/2015,30,24,1008.29,89,35,34,25,27,20,1011,1005,0,29.78,74.7
9/10/2015,27,25,1008.12,94,45,32,22,27,22,1011,1005,0.2,29.83,74.5
9/11/2015,29,25,1007.21,94,47,33,25,27,22,1010,1004,0.5,29.85,75.4
9/12/2015,30,24,1007.21,94,36,34,26,27,20,1010,1006,0,29.82,74.1
9/13/2015,30,24,1007.43,89,33,36,25,27,20,1011,1005,0.1,29.8,74.5
9/14/2015,30,23,1006.4,89,38,34,25,26,20,1010,1003,0,29.93,70.3
9/15/2015,31,23,1004.85,84,32,36,26,27,20,1008,1001,0,29.97,75.6
9/16/2015,32,23,1002.84,79,34,37,27,26,20,1006,1000,0,29.93,74.1
9/17/2015,32,23,1002.49,84,32,36,27,27,21,1005,1000,5,29.97,74.5
9/18/2015,30,24,1003.59,94,33,35,26,27,21,1007,1001,0,29.87,73.4
9/19/2015,30,25,1004.79,94,42,34,25,27,22,1007,1003,0,29.82,74.8
9/20/2015,30,25,1004.85,94,34,36,25,27,22,1009,1002,23,29.99,72.3
9/21/2015,28,24,1006.56,94,34,35,22,26,20,1009,1004,0,29.92,72.1
9/22/2015,30,26,1007.32,94,46,34,25,27,24,1010,1004,0,29.94,72.5
9/23/2015,30,26,1008.62,94,45,35,26,27,23,1012,1006,0,30.01,71.8
9/24/2015,30,26,1008,94,43,35,26,27,24,1011,1005,0,30.01,70.9
9/25/2015,30,25,1006.44,89,37,35,26,27,21,1009,1003,0,29.96,70.2
9/26/2015,30,25,1006.57,94,38,36,25,27,23,1010,1003,0,29.98,70.3
9/27/2015,30,25,1006.78,94,46,35,26,27,23,1010,1004,0,30.05,70.5
9/28/2015,30,25,1006.52,89,42,34,25,26,22,1009,1004,1,30.01,67.8
9/29/2015,28,24,1007.14,94,54,33,24,26,23,1010,1005,0.1,30.01,68.2
9/30/2015,29,25,1008.75,94,47,34,24,26,22,1011,1007,0,29.99,70.2
10/1/2015,28,25,1009.73,100,54,32,24,26,24,1012,1008,0.4,29.98,73.8
10/2/2015,30,25,1010.4,89,40,36,25,26,23,1014,1007,0,29.98,74.5
10/3/2015,27,25,1010.34,94,60,32,22,27,24,1013,1008,0,29.95,74.7
10/4/2015,29,25,1009.35,94,47,34,24,27,23,1012,1006,16,30,68.9
10/5/2015,27,25,1009.1,94,60,32,22,26,23,1012,1007,0,30.01,68.9
10/6/2015,28,25,1007.81,94,37,34,23,26,22,1011,1005,0,30.07,68.5
10/7/2015,30,25,1007.75,94,45,35,24,26,23,1011,1005,0,30.04,68.4
10/8/2015,28,25,1008.24,94,45,34,22,27,22,1011,1005,0,29.95,70
10/9/2015,29,26,1008.09,94,59,33,25,27,22,1011,1005,0,29.95,65.1
10/10/2015,29,25,1008.66,94,42,35,23,27,23,1012,1006,0,29.99,68
10/11/2015,26,24,1010.25,94,53,31,22,27,22,1013,1008,0,30.01,69.1
10/12/2015,30,25,1010.8,94,46,34,25,27,23,1014,1008,0,29.98,64.9
10/13/2015,28,25,1010.8,94,47,34,23,26,23,1014,1008,0,30,66.2
10/14/2015,29,24,1011.1,100,44,34,24,26,21,1014,1009,0,30.06,63.7
10/15/2015,28,25,1011.02,100,45,33,24,26,22,1013,1008,0,30.03,63.9
10/16/2015,28,24,1011.32,94,45,33,24,26,22,1014,1009,0,29.94,66
10/17/2015,28,24,1011.57,100,53,33,24,26,22,1014,1009,0,29.96,66.7
10/18/2015,29,25,1012.13,94,46,34,24,26,23,1015,1010,0.1,29.99,70.9
10/19/2015,29,26,1011.72,94,55,33,25,27,25,1015,1009,0,29.9,70
10/20/2015,29,25,1010.22,94,47,33,25,27,23,1013,1008,0,29.93,69.1
10/21/2015,29,24,1009.72,94,45,33,25,27,22,1013,1008,0,29.95,68
10/22/2015,28,22,1010.85,94,30,33,23,25,18,1014,1009,0,30.05,68
10/23/2015,26,23,1010.65,94,56,30,23,25,21,1013,1009,7,30.02,69.1
10/24/2015,27,23,1010.45,100,45,32,22,26,21,1013,1008,0,29.94,68
10/25/2015,28,23,1011.23,89,47,33,23,25,22,1014,1010,0,29.93,74.1
10/26/2015,28,24,1011.49,94,44,33,23,25,22,1014,1010,0.4,29.95,73.2
10/27/2015,28,24,1011.22,94,40,33,24,26,21,1014,1008,0.8,30.01,73.2
10/28/2015,26,25,1011.33,100,58,31,22,27,23,1014,1009,14,29.95,70.5
10/29/2015,26,25,1010.5,100,68,30,23,26,23,1014,1008,13,30.02,73.2
10/30/2015,27,25,1009.45,100,65,31,23,26,24,1012,1007,23,30.03,72
10/31/2015,26,25,1009.79,100,70,29,24,26,22,1012,1008,10,29.93,73.4
11/1/2015,27,25,1010.76,100,57,31,23,27,24,1013,1009,0,29.94,73.2
11/2/2015,26,25,1011.85,100,57,31,22,26,22,1014,1010,0,30.01,72.7
11/3/2015,28,25,1011.81,100,61,32,24,27,23,1014,1010,0.2,30,71.8
11/4/2015,27,25,1010.96,100,56,31,23,26,23,1013,1008,3,29.94,72
11/5/2015,26,26,1010.59,100,68,32,21,27,24,1014,1008,0.2,29.98,72.5
11/6/2015,28,25,1009.73,100,50,32,24,27,23,1012,1007,0,29.95,71.6
11/7/2015,27,25,1010.36,100,70,30,24,26,23,1014,1008,5,29.96,72.1
11/8/2015,24,25,1009.36,100,84,26,23,26,23,1012,1008,74,30,70.9
11/9/2015,24,25,1004.4,100,81,27,22,26,22,1008,1002,47,29.98,70.7
11/10/2015,24,24,1005.02,100,71,27,21,26,22,1010,1001,26,29.91,69.4
11/11/2015,26,25,1009.31,100,72,29,22,26,23,1013,1006,74,29.91,68.5
